LT,LS,LB,WT,WB,Wfi,Fleet
200,170,160,176,80,54,1
206,173,157,177.8,67.1,39.8,2
195,155,140,178,80.5,54.4,1
200,160,145,178,80.8,30.6,1
203,165,157,178.1,86.5,46.3,2
200,165,155,178.3,82.3,55,1
210,175,160,179,69.2,41.1,2
198,162,146,179,73.2,41,2
205,162,145,180.1,66.2,37.5,2
199,162,145,180.7,88.6,52,1
200,164,145,181,84.5,57.8,1
210,173,160,181.2,108.1,53.8,2
205,170,160,181.8,130.5,53.2,2
218,181,163,182,72,72,2
200,170,145,182.4,80,50.2,2
205,165,160,182.8,79.5,34,2
205,165,155,185,81,49,1
210,170,145,185,84,55.2,2
195,158,130,185.3,88.9,48.2,2
200,160,152,185.5,82.8,54.2,1
198,164,151,185.6,91,60.3,2
203,166,156,185.9,86.3,52.9,2
205,170,150,185.9,90.1,59.4,2
205,169,156,186,68,68,2
215,175,150,186,81,54.8,2
202,166,145,186.3,74,48.1,1
220,180,165,187.5,96.3,59.8,2
210,170,166,189,76,39.6,1
210,173,170,189.1,115.6,50.7,2
205,164,155,189.5,76,40,1
205,165,155,189.9,88.1,54.5,1
207,175,140,190,53,33,1
205,170,140,190,66,40,1
205,165,160,190.2,94.4,56,2
201,163,155,191,79.1,47.3,1
215,175,168,191.5,85.1,49.5,2
218,180,155,191.5,88.7,50.3,2
200,165,140,193.8,78.3,51.2,1
205,166,150,193.8,88.5,54.8,1
215,177,146,194,81.4,46.4,1
200,160,155,194,97,68.1,2
200,165,140,195,64,31.6,1
215,175,175,195,94.6,61.9,1
220,180,160,196,89,56.5,2
205,165,144,196.6,91.1,58.8,1
215,178,160,197,91,54.5,2
210,175,155,197.1,77.1,43.8,2
210,170,158,197.2,85.8,54.8,1
207,166,149,198.3,77,46.4,1
215,175,160,198.9,86.2,52.1,1
210,170,145,199,84,52,1
208,172,149,200,77.3,48.8,1
203,170,146,200,77.7,46.2,2
216,178,160,200.4,84.6,49.9,2
218,175,165,201,90.6,57.8,1
210,170,155,201,96,63.6,2
215,180,156,201.4,77.9,45.6,2
203,165,159,201.7,93.6,54,2
205,168,147,202,84,47.3,1
230,190,170,202,86,56,1
210,172,160,202.5,97.1,63.6,2
215,180,168,204.3,121.3,66.4,2
214,174,160,205.1,86.2,47.9,1
210,170,160,205.7,100.6,64.4,1
220,180,165,205.9,90,57.4,2
210,180,160,206,86,56,1
200,165,155,206,95.7,60,1
235,195,175,208,124,68,2
210,168,160,209,92,56,1
201,166,155,210,89,53,1
215,170,165,211,97,68,1
210,172,150,211.4,90.4,51.8,1
210,172,150,211.5,93,58.7,1
210,175,167,212,96.6,60.5,1
218,172,160,212.6,101,58.6,1
215,178,165,212.7,125.9,68.4,2
220,176,150,213.4,86.7,55.5,2
212,178,146,213.5,79.3,44,2
221,181,165,213.6,81.4,52.6,2
210,172,150,214.4,97,58.3,2
215,174,151,215,89.6,56.1,1
222,180,157,215,102,64,1
208,169,155,215.5,86.5,46.2,1
221,184,170,216,91.3,57.8,2
215,180,165,216,100,68,1
212,170,155,217,105,71.4,1
216,171,145,218.5,96.3,53.4,2
205,165,155,218.8,96.6,65.5,1
213,172,161,219.8,96.5,50.8,1
225,185,170,219.8,107.7,70,2
220,180,145,220,78,50,1
214,179,160,220,86,86,2
235,191,168,220,92,56,2
210,170,160,220,103,63.8,1
215,175,165,220.5,109.3,68.7,1
215,176,157,221,96,53.1,2
225,182,155,222,97,62,1
210,180,155,222,100.4,63,2
219,185,158,222.1,99.5,65.6,2
215,175,157,222.5,100.2,63.6,1
205,168,144,223,117.7,59,2
221,181,160,223.7,92,52,1
222,183,168,224,88,50,1
225,185,140,225,78.5,48.8,1
227,189,162,225,87.1,44,2
210,168,150,225,90,51.2,1
220,185,170,225,106.5,65.1,2
212,170,154,225,120,76,1
210,170,160,225.6,107.2,67.4,1
210,165,160,226,92,62,1
225,185,170,226,109.3,64.7,2
221,176,160,226.2,90.2,50.5,1
212,176,164,227,91.4,52.4,1
212,175,164,227.4,99.3,60.7,1
225,180,160,228,90,60,1
220,180,160,228.4,99.1,66.5,2
220,180,152,228.7,91.3,48.6,1
225,185,175,229.9,102.7,65.6,2
220,182,160,230,98.6,59.8,2
225,185,155,230,104.4,60,2
215,170,150,230,110,66.7,1
220,185,170,230,110.2,72.1,2
225,185,180,230.5,110.7,69,2
230,190,165,230.7,104.2,61.9,2
212,173,160,233,106.5,62.7,1
205,170,155,233,107.1,71.4,1
226,182,163,233.9,96.7,54.2,2
215,175,145,234,134,68,1
225,187,170,234.1,112.1,63,2
255,212,183,234.3,95.9,50.8,2
225,184,171,234.4,98.7,59.8,2
221,178,165,234.7,100,49.4,1
227,190,170,234.7,120.8,85.9,2
230,190,175,234.7,149.1,87.6,2
215,180,158,235,102,59,1
218,177,160,235,105.1,68.5,1
220,180,160,235.1,103.3,68.4,1
225,180,170,235.2,123.6,83.4,2
216,176,166,236.3,94.3,55.2,2
210,173,150,236.7,100.4,65,1
215,175,170,238,105,71,1
214,172,155,239,90.4,49.2,1
215,174,160,239.4,104.7,67.1,1
212,181,155,240,98.6,61.9,1
232,195,165,240,106.3,61.5,2
220,175,170,240.2,110.8,67.6,1
220,177,170,241.3,108.6,69.6,1
220,170,160,242.5,105.5,68.5,1
228,190,160,243,92,57,1
215,172,165,243,106,74,2
230,185,180,243,111.4,71.4,2
220,176,158,243,113,73.6,1
220,175,165,243.6,113.3,74.4,1
211,172,160,243.8,117.5,63.6,1
225,190,165,245,113,72.7,2
234,190,180,245.6,112.8,71.6,2
230,190,175,246,111,74.5,1
230,190,170,246.7,112.2,67.5,2
236,195,165,247,100.9,62.3,2
220,180,170,247,111.7,70.9,1
225,185,185,247,113.2,70.6,2
221,182,166,247.9,113,71.1,2
222,176,168,248,111.6,63,1
230,187,170,249,111,75,1
230,185,175,249.6,105.4,63.1,2
230,190,170,250,98,58,1
260,190,172,250,130,75,1
216,175,163,250.4,92.3,57.5,1
221,179,167,250.4,120,73.7,2
227,187,165,250.4,133.3,89.7,2
216,176,168,251,107.1,65.4,1
222,181,159,252,103.3,58.5,1
230,192,170,252,108.4,58.3,2
228,185,175,252.6,112.9,73.2,2
201,181,164,253,107,64.3,1
225,190,170,253,115,77.2,2
226,182,160,254,99,64,1
223,180,165,254.9,117.3,73.9,1
220,180,165,256,112,81,1
218,182,155,256.4,98.2,62.7,2
221,175,160,257,93,66,1
233,186,180,257,114,70,1
225,181,159,258,105,48.4,1
215,170,160,259.2,140.9,68.4,2
220,180,160,260,108,77.2,1
220,175,160,260,115,82.3,1
225,185,170,260,118,71,1
226,188,174,260.5,103.4,56.1,2
222,177,173,261.6,120.1,75.8,2
225,200,170,263.5,130.6,75.3,1
235,190,170,263.7,120,74.9,2
235,195,165,264,116.3,73.6,2
224,185,148,266.5,77.9,45.5,2
230,190,170,267,126,81,1
232,195,168,268,112.9,64.7,1
225,195,170,268,124,86,1
229,191,178,268,126,126,2
291,245,211,268,155.1,136.2,2
223,184,160,269.1,112.4,68.4,1
240,200,185,269.1,161.8,65.4,2
230,190,190,270,120,80,1
225,180,160,270.3,118,81.7,1
235,195,180,271.4,134.4,83.8,2
235,190,170,271.5,131.6,87.1,2
245,200,180,272,118,77.4,2
230,190,165,272,124,78,1
242,205,177,272.2,124.1,70.9,2
240,190,180,273,125,78.5,1
225,175,170,273,130,90,1
229,183,169,273.3,117.7,74.1,2
230,190,180,275,130,87,2
224,183,163,276,112,72,1
235,196,171,276,118.2,79.6,1
233,193,170,276,123,83,1
235,190,170,276,130,88.5,2
246,200,180,277.2,122.3,73.6,2
231,189,165,277.3,109,57.3,1
227,184,165,278,130,84,1
235,192,176,279,163.9,90.5,2
283,227,216,279,136,81,1
230,188,168,279.4,120.9,77.8,1
230,185,180,280,129,75.2,1
230,190,160,281,119,79.6,1
235,190,170,281,127,75,1
232,200,162,281.3,122.8,69.5,1
235,190,180,281.6,125.5,82.4,1
220,182,163,282,102,65.3,1
